Px1	Py1	Pz1	Px2	Py2	Pz2	Px3	Py3	Pz3	Px4	Py4	Pz4
-0.179265	-0.381616	1.48733	0.124195	0.337486	-1.41365	-0.0727847	0.127276	0.649537	0.086576	-0.0760162	-0.737563
-1.15985	0.00334776	0.610825	1.00721	0.123113	-0.860657	-0.0464865	0.21663	0.694351	0.237821	-0.474694	-0.434911
0.111461	-0.589319	1.12533	-0.26917	0.733944	-1.26613	-0.307936	0.0393031	0.754441	0.425395	-0.215575	-0.633269
0.53531	0.0246437	1.23352	-0.76792	0.280116	-1.21233	0.313904	0.0328242	0.724348	-0.0747598	-0.350196	-0.750529
0.337603	0.688839	1.53104	0.166644	-0.55135	-1.17193	-0.41153	-0.160845	0.50902	-0.085444	0.0334683	-0.847281
-0.132623	1.03805	1.03903	-0.352233	-1.04402	-1.25269	0.114731	0.00745458	0.822509	0.402356	-0.0324328	-0.626716
0.793317	0.339121	0.824247	-0.373409	0.497712	-1.21233	-0.38026	-0.211422	0.545796	-0.0121472	-0.728297	-0.136956
0.133347	1.03805	1.03903	-0.187928	-1.0929	-0.955681	0.0858695	0.434671	0.604936	-0.0288645	-0.412949	-0.692059
-0.329562	-0.604308	0.774327	0.0422703	0.702236	-0.881041	0.171122	-0.230848	0.57532	0.159918	0.0798551	-0.474883
-0.266998	0.109538	1.21907	0.872417	0.379023	-1.21233	-0.205317	-0.302017	0.649537	-0.406926	-0.220691	-0.652902
-1.39921	-0.371662	0.575385	1.37465	0.526947	-0.587743	-0.0402528	-0.447591	0.799764	0.0747053	0.170381	-0.782876
-0.224552	0.539135	1.54562	-0.0202394	-0.467296	-1.52724	0.0995075	-0.0368653	0.649537	0.151175	-0.098757	-0.659438
-0.202659	0.175381	1.64788	0.409781	0.217673	-1.70027	-0.327779	0.0647735	0.746908	0.168057	-0.545377	-0.692059
-0.920633	1.07347	1.5019	1.03029	-0.526713	-1.48719	0.315805	-0.274136	0.784632	-0.447287	-0.288731	-0.789334
0.981098	0.428107	1.23352	-0.393405	0.240085	-1.27956	-0.0986283	-0.312542	0.582715	-0.394654	-0.476209	-0.521325
0.581471	0.876426	1.32757	-0.207623	-1.32425	-1.15845	-0.450839	-0.00530367	0.656991	0.0974736	0.322854	-0.802238
0.333588	-0.822001	1.11813	-0.687143	0.439825	-1.09774	0.250052	0.0260712	0.57532	0.134624	0.357526	-0.593894
-0.133849	-0.209687	1.35656	0.829434	0.338865	-1.27285	-0.431589	0.0136703	0.671917	-0.247499	-0.224028	-0.750529
0.245291	1.06404	1.19742	-0.709921	-0.852581	-1.0031	0.41357	0.526207	0.553168	0.0116401	-0.686599	-0.724582
-0.926867	0.0875058	0.902841	1.15087	-0.495029	-0.955681	0.00673476	0.644952	0.649537	-0.269139	-0.250027	-0.587318
0.778213	0.0245716	1.13253	-0.870381	0.200677	-1.26613	0.142025	-0.307997	0.845311	-0.132254	0.0721463	-0.757006
1.29966	0.25513	0.817111	-1.53639	0.283992	-0.738107	0.430078	-0.253471	0.479701	-0.234176	-0.28367	-0.580737
-0.340754	1.02177	1.92704	0.289171	-0.999248	-1.43372	-0.228387	0.140045	0.219798	0.334491	-0.130943	-0.737563
0.201475	0.344032	1.32032	0.0621454	-0.350159	-1.48051	-0.14546	0.35402	0.634647	-0.0590965	-0.416401	-0.474883
0.903478	-0.38372	1.67715	-0.225555	0.19878	-1.59389	-0.350318	0.353756	0.62721	-0.282047	-0.141744	-0.750529
-0.201719	0.474051	1.48733	-0.207016	-0.648727	-1.25941	0.528964	0.436414	0.501682	-0.11529	-0.345383	-0.731074
-0.426528	0.260299	1.50918	0.474942	-0.488314	-1.42703	-0.238986	0.197162	0.671917	0.138196	-0.125206	-0.757006
